"site_id","lat","lon","state","common_name","species_id","func_type","id","phenophase_id","phenophase","year","first_yes","prior_no","elev"
54763,44.363411,-68.209946,"ME","striped maple",60,"Deciduous broadleaf",333201,498,"Colored leaves",2025,255,8,23
54760,44.366699,-68.203857,"ME","highbush blueberry",94,"Deciduous broadleaf",333208,498,"Colored leaves",2025,255,8,26
54759,44.370461,-68.212112,"ME","common winterberry ",897,"Deciduous broadleaf",333209,471,"Falling leaves",2025,255,8,22
54759,44.370461,-68.212112,"ME","common winterberry ",897,"Deciduous broadleaf",333210,498,"Colored leaves",2025,255,8,22
54759,44.370461,-68.212112,"ME","common winterberry ",897,"Deciduous broadleaf",333210,471,"Falling leaves",2025,255,8,22
54759,44.370461,-68.212112,"ME","possumhaw",1698,"Deciduous broadleaf",333211,471,"Falling leaves",2025,255,8,22
53784,40.533043,-79.780418,"PA","Morrow's honeysuckle",1471,"Deciduous broadleaf",333549,498,"Colored leaves",2025,215,28,232
53784,40.533043,-79.780418,"PA","Morrow's honeysuckle",1471,"Deciduous broadleaf",333549,471,"Falling leaves",2025,215,28,232
20907,41.292404,-70.169029,"MA","black huckleberry",1458,"Deciduous broadleaf",333914,498,"Colored leaves",2025,238,7,4
20907,41.292404,-70.169029,"MA","black huckleberry",1458,"Deciduous broadleaf",333914,471,"Falling leaves",2025,251,6,4
20907,41.292404,-70.169029,"MA","black huckleberry",1458,"Deciduous broadleaf",333915,471,"Falling leaves",2025,259,8,4
20907,41.292404,-70.169029,"MA","black huckleberry",1458,"Deciduous broadleaf",333916,471,"Falling leaves",2025,245,7,4
19653,41.289158,-70.174759,"MA","black cherry",28,"Deciduous broadleaf",333917,498,"Colored leaves",2025,259,8,11
19653,41.289158,-70.174759,"MA","black cherry",28,"Deciduous broadleaf",333918,498,"Colored leaves",2025,259,8,11
19653,41.289158,-70.174759,"MA","black cherry",28,"Deciduous broadleaf",333918,471,"Falling leaves",2025,259,8,11
19653,41.289158,-70.174759,"MA","black cherry",28,"Deciduous broadleaf",333919,498,"Colored leaves",2025,259,8,11
19653,41.289158,-70.174759,"MA","black cherry",28,"Deciduous broadleaf",333919,471,"Falling leaves",2025,259,8,11
49688,44.739075,-93.602257,"MN","quaking aspen",27,"Deciduous broadleaf",333962,498,"Colored leaves",2025,184,1,231
49688,44.739075,-93.602257,"MN","quaking aspen",27,"Deciduous broadleaf",333962,471,"Falling leaves",2025,184,1,231
48749,42.373653,-71.143356,"MA","black oak",1159,"Deciduous broadleaf",334257,498,"Colored leaves",2025,240,2,12
48749,42.373653,-71.143356,"MA","black oak",1159,"Deciduous broadleaf",334257,471,"Falling leaves",2025,240,2,12
53401,40.085747,-76.008469,"PA","northern spicebush",915,"Deciduous broadleaf",334302,498,"Colored leaves",2025,258,17,292
54344,44.073566,-91.676826,"MN","bur oak",101,"Deciduous broadleaf",334307,498,"Colored leaves",2025,204,6,199
16786,35.096119,-106.685783,"NM","eastern cottonwood",976,"Deciduous broadleaf",334556,498,"Colored leaves",2025,244,7,1511
55196,39.798698,-85.731796,"IN","red maple",3,"Deciduous broadleaf",334686,498,"Colored leaves",2025,216,5,273
55196,39.798698,-85.731796,"IN","red maple",3,"Deciduous broadleaf",334686,471,"Falling leaves",2025,216,5,273
16610,37.991367,-122.132027,"CA","apple",1208,"Deciduous broadleaf",334770,498,"Colored leaves",2025,224,7,34
25174,30.429096,-88.430626,"MS","eastern baccharis",804,"Deciduous broadleaf",334901,498,"Colored leaves",2025,241,28,1
28745,30.429382,-88.428902,"MS","common persimmon",303,"Deciduous broadleaf",334903,498,"Colored leaves",2025,241,28,2
28745,30.429382,-88.428902,"MS","common persimmon",303,"Deciduous broadleaf",334904,498,"Colored leaves",2025,270,22,2
49688,44.739075,-93.602257,"MN","black walnut",80,"Deciduous broadleaf",334946,498,"Colored leaves",2025,233,2,231
49688,44.739075,-93.602257,"MN","black walnut",80,"Deciduous broadleaf",334946,471,"Falling leaves",2025,261,4,231
34052,43.309284,-78.85627,"NY","northern red oak",102,"Deciduous broadleaf",335257,498,"Colored leaves",2025,268,19,80
34052,43.309284,-78.85627,"NY","northern red oak",102,"Deciduous broadleaf",335257,471,"Falling leaves",2025,224,18,80
56661,40.328587,-74.946289,"PA","sugar maple",61,"Deciduous broadleaf",335263,498,"Colored leaves",2025,254,9,26
56661,40.328587,-74.946289,"PA","sugar maple",61,"Deciduous broadleaf",335263,471,"Falling leaves",2025,264,6,26
55362,44.362194,-68.206497,"ME","coastal sweetpepperbush",1807,"Deciduous broadleaf",335268,498,"Colored leaves",2025,262,7,21
55362,44.362194,-68.206497,"ME","coastal sweetpepperbush",1807,"Deciduous broadleaf",335269,498,"Colored leaves",2025,262,7,21
55362,44.362194,-68.206497,"ME","coastal sweetpepperbush",1807,"Deciduous broadleaf",335271,498,"Colored leaves",2025,255,5,21
56661,40.328587,-74.946289,"PA","eastern redbud",7,"Deciduous broadleaf",335279,498,"Colored leaves",2025,207,7,26
56661,40.328587,-74.946289,"PA","eastern redbud",7,"Deciduous broadleaf",335279,471,"Falling leaves",2025,254,1,26
56680,40.328274,-74.944122,"PA","red maple",3,"Deciduous broadleaf",335280,498,"Colored leaves",2025,235,4,37
56680,40.328274,-74.944122,"PA","red maple",3,"Deciduous broadleaf",335280,471,"Falling leaves",2025,243,1,37
56657,40.329544,-74.942245,"PA","willow oak",1366,"Deciduous broadleaf",335281,498,"Colored leaves",2025,248,2,41
56680,40.328274,-74.944122,"PA","tuliptree",82,"Deciduous broadleaf",335282,498,"Colored leaves",2025,228,3,37
56680,40.328274,-74.944122,"PA","tuliptree",82,"Deciduous broadleaf",335282,471,"Falling leaves",2025,228,3,37
56680,40.328274,-74.944122,"PA","American beech",79,"Deciduous broadleaf",335283,498,"Colored leaves",2025,231,3,37
56680,40.328274,-74.944122,"PA","American beech",79,"Deciduous broadleaf",335283,471,"Falling leaves",2025,228,3,37
56661,40.328587,-74.946289,"PA","American witchhazel",76,"Deciduous broadleaf",335284,498,"Colored leaves",2025,200,7,26
56661,40.328587,-74.946289,"PA","American witchhazel",76,"Deciduous broadleaf",335284,471,"Falling leaves",2025,264,10,26
56680,40.328274,-74.944122,"PA","northern spicebush",915,"Deciduous broadleaf",335285,498,"Colored leaves",2025,235,2,37
56680,40.328274,-74.944122,"PA","northern spicebush",915,"Deciduous broadleaf",335285,471,"Falling leaves",2025,255,1,37
56680,40.328274,-74.944122,"PA","eastern leatherwood",1733,"Deciduous broadleaf",335286,498,"Colored leaves",2025,230,3,37
56680,40.328274,-74.944122,"PA","eastern leatherwood",1733,"Deciduous broadleaf",335286,471,"Falling leaves",2025,265,2,37
