"STATEFP","COUNTYFP","state","county","doy_1981","doy_1982","doy_1983","doy_1984","doy_1985","doy_1986","doy_1987","doy_1988","doy_1989","doy_1990","doy_1991","doy_1992","doy_1993","doy_1994","doy_1995","doy_1996","doy_1997","doy_1998","doy_1999","doy_2000","doy_2001","doy_2002","doy_2003","doy_2004","doy_2005","doy_2006","doy_2007","doy_2008","doy_2009","doy_2010","doy_2011","doy_2012","doy_2013","doy_2014","doy_2015","doy_2016","doy_2017","doy_2018","doy_2019","doy_2020","doy_2021","doy_2022","doy_2023","doy_2024","doy_2025"
"49","043","UT","Summit",125.799560546875,138.099700927734,144.955215454102,139.082672119141,123.940673828125,121.397445678711,121.258750915527,127.155960083008,115.945266723633,123.861457824707,140.021621704102,115.868629455566,131.347320556641,121.07886505127,137.749160766602,127.867980957031,125.655563354492,131.773986816406,133.855026245117,123.223213195801,124.544326782227,125.829399108887,128.749206542969,115.743263244629,132.04231262207,125.315788269043,117.015655517578,140.879013061523,128.95246887207,138.542358398438,145.382781982422,116.337890625,130.833923339844,129.309906005859,116.317306518555,124.779891967773,118.568572998047,125.192504882812,133.263320922852,129.998977661133,130.793228149414,132.860855102539,133.97248840332,135.572647094727,NA
"49","047","UT","Uintah",104.354469299316,112.458717346191,115.562835693359,117.999816894531,103.52424621582,90.2688064575195,106.836486816406,107.640151977539,97.69287109375,99.3327178955078,111.606857299805,96.2117156982422,106.743499755859,95.4118957519531,94.4070510864258,100.746788024902,107.312088012695,107.677909851074,99.4742813110352,101.985794067383,98.9525451660156,99.8994216918945,101.65550994873,88.5573043823242,104.792663574219,101.913917541504,89.0295333862305,116.426010131836,103.841468811035,109.981498718262,107.667861938477,92.4838714599609,104.062393188477,94.7089920043945,87.3451614379883,99.415901184082,88.3175582885742,98.592041015625,107.540115356445,102.712944030762,102.938804626465,102.834770202637,116.069595336914,105.185760498047,NA
"49","023","UT","Juab",95.9938735961914,100.317581176758,106.193130493164,111.894577026367,99.0092544555664,75.6607818603516,96.9388961791992,96.1256103515625,83.6466445922852,85.7610015869141,98.6238708496094,84.6097412109375,95.9375915527344,86.0494232177734,76.1851959228516,85.1123733520508,85.6965789794922,97.6470184326172,89.7423477172852,86.3255462646484,91.0993499755859,94.1229476928711,87.7354888916016,83.7554397583008,96.6337661743164,96.231201171875,79.6870574951172,104.610015869141,93.0942687988281,103.447868347168,97.6830368041992,87.9622955322266,94.3754501342773,84.1960830688477,75.9653778076172,85.5882873535156,77.8195343017578,92.3931655883789,96.497932434082,97.0484237670898,96.534782409668,94.6288909912109,109.056907653809,95.0685119628906,NA
"50","009","VT","Essex",107.496307373047,123.681495666504,122.703941345215,120.222267150879,121.141540527344,115.060050964355,108.319343566895,124.899436950684,127.429328918457,118.654106140137,114.919723510742,128.379501342773,114.941047668457,126.871170043945,124.599327087402,126.454711914062,129.200302124023,115.063629150391,122.835227966309,124.230606079102,122.093704223633,110.121696472168,121.924819946289,120.179954528809,119.856872558594,115.973327636719,123.867599487305,116.047874450684,117.557197570801,105.793899536133,121.986213684082,105.473533630371,121.228668212891,123.562789916992,124.068489074707,121.759567260742,114.872047424316,123.555221557617,123.005867004395,130.933654785156,107.737663269043,120.322456359863,114.17992401123,118.557571411133,NA
"51","001","VA","Accomack",74.1626281738281,68.6888885498047,63.051212310791,67.2489852905273,66.2550430297852,70.8324127197266,81.4769592285156,67.7407379150391,52.7072601318359,38.509464263916,53.5024452209473,56.3737182617188,65.3693237304688,71.623649597168,63.9292297363281,66.565055847168,56.3439483642578,48.0223350524902,50.3841094970703,59.3516082763672,67.3924179077148,44.2003707885742,75.4181137084961,67.0091705322266,66.656379699707,36.8937492370605,61.354377746582,49.9821929931641,68.1618728637695,73.1388473510742,70.7228012084961,42.5932235717773,64.1364974975586,64.9973068237305,83.5231628417969,59.9296951293945,43.7076225280762,51.8265571594238,55.2841415405273,39.3868789672852,68.2853012084961,63.8754501342773,43.7865715026855,50.6709403991699,NA
"51","095","VA","James City",71.1886749267578,66.5818481445312,61.8408126831055,51.3141899108887,62.0175361633301,58.995059967041,76.6002426147461,67.310920715332,34.0418930053711,34.0788879394531,45.7797050476074,52.6026992797852,55.0334243774414,61.9372367858887,59.3781700134277,57.0000038146973,54.9498176574707,49.2369956970215,40.06396484375,56.004566192627,58.3240776062012,41.3826866149902,70.3421936035156,65.2570037841797,55.2661018371582,34,45.014331817627,42.6058349609375,55.8245086669922,69.7789764404297,56.9239463806152,38.4237060546875,62.5635452270508,63.3225631713867,74.1984481811523,50.4212532043457,40.4044342041016,46.9580917358398,47.030216217041,38.6214981079102,65.6147384643555,56.0658187866211,43.3010597229004,49.1657676696777,61.9242324829102
"51","093","VA","Isle of Wight",65.2615280151367,62.6431541442871,60.3203773498535,50.4806022644043,62.2562713623047,54.0261383056641,72.1120529174805,64.4842376708984,32.6868515014648,32.9517478942871,43.4553985595703,51.6141891479492,50.1229362487793,58.2199783325195,58.0640411376953,56.9541702270508,50.9106636047363,47.3368873596191,33.5230369567871,55.6654396057129,50.9685745239258,40.1343460083008,67.8272018432617,62.561149597168,53.7843971252441,34,45.5222206115723,42.7196311950684,52.3741302490234,70.9984588623047,56.4268226623535,34.2206001281738,60.3910713195801,62.3975296020508,72.7608947753906,50.3975105285645,39.0132522583008,46.8991394042969,43.9312973022461,34.5455932617188,61.0352249145508,54.8259429931641,42.0829010009766,44.1082153320312,61.3499145507812
"51","153","VA","Prince William",84.2725448608398,81.4613647460938,73.8313140869141,82.1775283813477,70.1150054931641,75.8589324951172,85.5086212158203,80.8592987060547,78.4101715087891,46.3747825622559,64.486930847168,66.5277938842773,87.1198272705078,85.6000595092773,72.4997711181641,83.4738311767578,63.8274383544922,68.3512649536133,71.6578216552734,63.5724563598633,82.0616683959961,65.9560089111328,83.2698593139648,79.9918212890625,75.9672470092773,65.5731048583984,73.9135284423828,70.6110610961914,78.0538177490234,78.8979034423828,74.1561584472656,61.2667770385742,85.7226257324219,88.2550811767578,90.4146957397461,69.7552871704102,51.9527206420898,56.9089126586914,75.4655075073242,62.2176513671875,75.8666915893555,64.3937454223633,49.7861213684082,64.6810607910156,NA
"51","057","VA","Essex",69.1350936889648,71.3514099121094,64.6757507324219,68.608283996582,65.9738388061523,69.3094253540039,79.7722015380859,67.935546875,56.4014625549316,37.5917053222656,56.9237594604492,57.3699226379395,70.551399230957,75.8069076538086,67.5168914794922,65.0201644897461,56.1870384216309,54.6009254455566,47.688045501709,57.3059883117676,65.3687591552734,41.8114471435547,74.9249801635742,66.988899230957,56.9829902648926,36.3153076171875,66.2265319824219,50.204963684082,70.9651870727539,74.5844573974609,66.1363754272461,55.4748039245605,73.7116775512695,75.7412185668945,80.6273040771484,62.3982810974121,42.1769065856934,51.5455780029297,64.5857467651367,46.840446472168,72.4867553710938,63.9916954040527,44.0067176818848,56.9138717651367,NA
"51","105","VA","Lee",87.4377212524414,66.6164321899414,67.6027450561523,79.3687744140625,75.4244003295898,71.479248046875,76.9520950317383,76.1470184326172,57.6247329711914,44.6977348327637,65.3677291870117,62.6896820068359,78.1209945678711,75.8228073120117,69.0183639526367,79.5920944213867,58.0076866149902,64.2408218383789,61.3801193237305,59.8077354431152,69.9815444946289,73.2082595825195,73.8549041748047,73.4165496826172,64.6169128417969,64.0093612670898,70.8326950073242,75.2939834594727,70.7198257446289,79.0598831176758,64.8150863647461,56.4048347473145,75.2943572998047,79.9834671020508,80.2665481567383,71.971321105957,50.0607452392578,52.3691635131836,57.71826171875,64.0523223876953,70.6406631469727,65.2318572998047,52.0289726257324,59.2305374145508,NA
