"site_id","lat","lon","elev","state","common_name","species_id","func_type","id","phenophase","pheno_class_id","year","first_yes","prior_no"
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",1273,"Leaves",3,2016,105,7
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",1273,"Flowers or flower buds",6,2015,84,8
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",1273,"Flowers or flower buds",6,2016,84,13
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",1273,"Flowers or flower buds",6,2018,109,12
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Flowers or flower buds",6,2015,84,8
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Flowers or flower buds",6,2016,60,4
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Flowers or flower buds",6,2017,54,10
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Flowers or flower buds",6,2018,66,13
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Full flowering (50%)",7,2009,82,1
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Open flowers",7,2010,94,11
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Open flowers",7,2016,71,5
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Open flowers",7,2017,54,10
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",1274,"Open flowers",7,2018,81,15
1081,32.259979,-110.946693,727,"AZ","creosote bush",117,"Evergreen broadleaf",1338,"Flowers or flower buds",6,2012,43,8
1081,32.259979,-110.946693,727,"AZ","creosote bush",117,"Evergreen broadleaf",1338,"Open flowers (1 location)",7,2010,65,19
1081,32.259979,-110.946693,727,"AZ","creosote bush",117,"Evergreen broadleaf",1338,"Open flowers",7,2012,52,9
1130,38.963001,-77.338379,111,"VA","red maple",3,"Deciduous broadleaf",1459,"Full flowering (50%)",7,2009,75,6
1192,40.373085,-74.121124,42,"NJ","flowering dogwood",12,"Deciduous broadleaf",1659,"Leaves",3,2010,98,4
3,35.879211,-84.172203,284,"TN","eastern redbud",7,"Deciduous broadleaf",1676,"Flowers or flower buds",6,2013,76,2
3,35.879211,-84.172203,284,"TN","eastern redbud",7,"Deciduous broadleaf",1676,"Flowers or flower buds",6,2014,80,5
3,35.879211,-84.172203,284,"TN","eastern redbud",7,"Deciduous broadleaf",1676,"Flowers or flower buds",6,2015,81,3
3,35.879211,-84.172203,284,"TN","flowering dogwood",12,"Deciduous broadleaf",1694,"Leaves",3,2011,79,3
3,35.879211,-84.172203,284,"TN","flowering dogwood",12,"Deciduous broadleaf",1694,"Leaves",3,2013,95,4
3,35.879211,-84.172203,284,"TN","flowering dogwood",12,"Deciduous broadleaf",1694,"Leaves",3,2014,96,11
3,35.879211,-84.172203,284,"TN","flowering dogwood",12,"Deciduous broadleaf",1694,"Leaves",3,2015,93,3
3,35.879211,-84.172203,284,"TN","flowering dogwood",12,"Deciduous broadleaf",1694,"Flowers or flower buds",6,2013,89,2
3,35.879211,-84.172203,284,"TN","flowering dogwood",12,"Deciduous broadleaf",1694,"Flowers or flower buds",6,2014,96,11
3,35.879211,-84.172203,284,"TN","flowering dogwood",12,"Deciduous broadleaf",1694,"Flowers or flower buds",6,2015,87,4
1206,41.4076,-72.457336,23,"CT","eastern redbud",7,"Deciduous broadleaf",1713,"Flowers or flower buds",6,2012,105,17
1206,41.4076,-72.457336,23,"CT","flowering dogwood",12,"Deciduous broadleaf",1714,"Leaves",3,2009,109,7
1206,41.4076,-72.457336,23,"CT","flowering dogwood",12,"Deciduous broadleaf",1714,"Leaves",3,2012,105,17
1206,41.4076,-72.457336,23,"CT","flowering dogwood",12,"Deciduous broadleaf",1714,"Flowers or flower buds",6,2012,105,17
1248,38.762318,-90.498421,153,"MO","flowering dogwood",12,"Deciduous broadleaf",1784,"Leaves",3,2015,101,10
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2009,82,7
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2010,46,7
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2011,66,7
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2012,64,8
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2013,62,7
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2014,65,7
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2016,49,7
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2017,75,14
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2018,42,9
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2019,82,8
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2020,47,7
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2021,65,6
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2022,57,6
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2023,51,8
1274,47.754948,-122.357971,98,"WA","common snowberry",92,"Deciduous broadleaf",1849,"Breaking leaf buds",1,2024,54,6
637,44.34095,-72.46122,518,"VT","red maple",3,"Deciduous broadleaf",1920,"Open flowers",7,2009,113,2
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2009,118,2
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2010,116,3
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2011,123,3
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2012,101,4
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2013,128,3
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2014,134,3
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2015,131,5
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2016,133,4
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2017,124,5
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2018,127,4
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2019,136,9
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2020,126,10
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2021,120,7
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2022,129,3
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Leaves",3,2023,117,6
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2011,129,12
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2012,94,5
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2013,115,4
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2014,128,3
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2015,124,4
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2016,116,3
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2017,106,4
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2018,117,5
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2019,104,7
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2020,96,5
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2021,98,4
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2022,101,6
1327,42.546036,-71.3545,87,"MA","flowering dogwood",12,"Deciduous broadleaf",1976,"Flowers or flower buds",6,2023,135,7
443,42.304653,-83.70118,276,"MI","red maple",3,"Deciduous broadleaf",1977,"Open flowers",7,2009,91,4
443,42.304653,-83.70118,276,"MI","red maple",3,"Deciduous broadleaf",1977,"Full flowering (50%)",7,2010,90,1
443,42.304653,-83.70118,276,"MI","red maple",3,"Deciduous broadleaf",1977,"Open flowers",7,2012,75,1
443,42.304653,-83.70118,276,"MI","red maple",3,"Deciduous broadleaf",1977,"Open flowers",7,2013,105,4
443,42.304653,-83.70118,276,"MI","red maple",3,"Deciduous broadleaf",1977,"Open flowers",7,2014,102,1
443,42.304653,-83.70118,276,"MI","red maple",3,"Deciduous broadleaf",1977,"Open flowers",7,2020,94,7
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2009,117,2
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2010,105,1
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2012,103,2
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2013,119,4
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2014,128,2
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2015,123,1
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2016,124,4
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2017,113,5
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2018,124,5
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2019,122,7
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2021,100,5
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2022,124,8
443,42.304653,-83.70118,276,"MI","black walnut",80,"Deciduous broadleaf",1978,"Breaking leaf buds",1,2024,124,17
637,44.34095,-72.46122,518,"VT","red maple",3,"Deciduous broadleaf",1997,"Open flowers",7,2009,113,4
637,44.34095,-72.46122,518,"VT","red maple",3,"Deciduous broadleaf",1997,"Open flowers",7,2010,94,3
637,44.34095,-72.46122,518,"VT","red maple",3,"Deciduous broadleaf",2001,"Open flowers",7,2009,113,4
637,44.34095,-72.46122,518,"VT","red maple",3,"Deciduous broadleaf",2001,"Open flowers",7,2010,94,3
414,44.277962,-70.315315,150,"ME","red maple",3,"Deciduous broadleaf",2019,"Open flowers",7,2009,103,2
414,44.277962,-70.315315,150,"ME","black elderberry",90,"Deciduous broadleaf",2041,"Breaking leaf buds",1,2009,106,8
1211,36.161465,-87.016701,166,"TN","flowering dogwood",12,"Deciduous broadleaf",2093,"Leaves",3,2009,116,7
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2011,117,5
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2012,107,1
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2013,133,7
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2014,136,4
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2015,128,4
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2016,135,4
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2018,138,2
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2019,144,6
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2020,136,4
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2021,126,4
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2022,135,3
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2023,130,3
2,43.08535,-70.69133,12,"ME","black cherry",28,"Deciduous broadleaf",2106,"Flowers or flower buds",6,2024,128,3
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2014,180,10
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2015,293,18
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2016,241,26
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2018,282,20
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2019,197,10
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2020,186,12
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2021,198,9
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2022,199,10
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2023,170,7
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Flowers or flower buds",6,2024,182,6
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Full flowering (50%)",7,2009,278,18
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Full flowering (50%)",7,2010,276,8
2,43.08535,-70.69133,12,"ME","American witchhazel",76,"Deciduous broadleaf",2112,"Open flowers",7,2013,273,16
